,id,screen_name,followers_count,friends_count,favourites_count
457,1086185255327973376,msklm,137,1449,4
458,36442085,M_Baranowski,3873,762,6978
459,586291040,AuschwitzMuseum,1181864,2378,40055
460,80124284,MLopezSanMartin,88811,997,31128
461,1264951945061699586,IgorJanowiak,37,619,6829
462,361782645,AgataAdamek,18626,826,1546
463,1245344546,boguszmichal,2814,676,10986
464,365033823,LAJankowski,9403,1483,20371
465,3092847414,tvn24kawa,12064,0,0
466,197703338,sjastrzebowski,48669,908,46484
467,1402149631476350977,FreeExplosion,15,191,1668
468,1112662098,TomStepniewski,264,769,861
469,592685597,Defence24pl,32088,1118,5190
470,1681324362,Unexplained,1400028,658,470
471,914866270096560128,Riekstins__M,1770,301,2075
472,1675210464,_websterrr_,224,1018,3253
473,1077516097983864832,AnnaJak1972,43,877,10788
474,1179847309540171776,KochanyPrezio,11589,258,74798
475,1374694128022388736,PChorazewska,280,960,3
476,2923041951,owackasara,190,377,1145
477,591623670,WitoldRPL,10929,580,9024
478,1457705467627679747,Etamtamtu,0,20,1
479,131932087,MichalKlosowski,2991,1238,41395
480,1460645231104253957,nikola_baranek,1,179,1
481,299131862,kasiaguzik,157,816,42
482,516839747,Marek_Rasovsky,2079,617,95288
483,1095765692933120005,WKnowska,175,893,735
484,2189898192,Gosp_Morska_pl,1581,1512,312
485,2237727690,ChopinInstitute,14866,1105,2239
486,1448417675651293185,PacygaJoanna,2,143,1
487,545231714,fundacjatvn,445,0,0
488,972072205600387072,ArturJerzy,242,418,43766
489,1065375790878081024,TadeuszGiczan,47104,789,5849
490,917055074119057409,dgpopiolek,6506,1286,7959
491,2770690362,BBieliszczuk,990,939,6850
492,1103409768,JakubTopolkuba,3,78,270
493,1724925360,LorenzWojciech,2181,596,1523
494,2376370882,FranciszekPrz,43,592,141
495,778970791874617344,joannahosa,839,607,767
496,3346646446,ArturStelmasiak,5273,1658,10177
497,1320923933781143555,Lucek86579995,356,702,49863
498,1460301501059014657,KrzysztofGsior9,2,47,0
499,553574315,pin_zielony,1464,233,9619
500,1460636219587665926,SNadzikiewicz,27,390,0
501,810612834224766976,ItsNotEasyBut,854,1622,81462
502,2801568861,CleanAuthoritie,4028,276,2
503,432016128,FeusetteK,44751,560,7926
504,4524545416,m_grodzki,4,67,5
505,1460645439074676741,Passumun,0,1,0
506,1100102758563233792,stolarczyk_p,206,1800,1393
507,150386917,SzymonSikorski,1473,1707,4543
508,1460639981073018887,U1raz,0,33,0
509,856025974735085569,Zabehulah_M33,430776,31,291
510,1039316708,BeataGWinter,7043,4769,56189
511,138473807,LindaZeilina,1047,4599,2648
512,33824245,NikolPashinyan,143093,90,3
513,194399035,rzeczpospolita,235729,651,1955
514,1430936742027317263,Sawomir47653853,12,156,337
515,2525685920,JarekKociszewsk,5562,631,12624
516,866680416,MagdaLucyan,19602,466,6967
517,81055599,PolandMFA,54980,503,2269
518,64770798,wszewko,40212,1528,20829
519,1458507811470680067,ceda04558821,0,12,0
520,2420546335,FundacjaWEI,7615,655,1079
521,1460659974691041287,PawelCichocki90,0,51,0
522,986441509,PiotrGursztyn,30837,1437,69027
523,860294447770345472,WasaczMagdalena,9,187,3879
524,817434782703435778,EwelinaKrakowi1,179,1459,2106
525,139189823,ShivAroor,1032659,380,2395
526,1301949935177400320,trojmorze_pl,3479,3203,934
527,492174111,BaranowskaKam,36784,1546,8918
528,360494868,tvn24pomorze,3544,8,6
529,1427300168593022978,polityka_krakow,61,1437,47
530,902880996479172608,jagodagrondecka,28405,1082,2667
531,1428783434567147520,archivist123456,32,639,99
532,1460668935318159369,Krzysiol87,0,18,4
533,1002308142,naukajazdy2,91,1258,2849
534,576936013,NowikMariusz,732,524,928
